solution_id,algorithm,makespan,carbon,truck_id,truck_route,drone_customers
6,NSGAII,381.3,1203.89,2,"[0, 4, 90, 6, 52, 5, 61, 97, 100, 7, 42, 26, 69, 44, 83, 11, 41, 27, 13, 2, 34, 1, 19, 16, 18, 68, 39, 56, 84, 23, 82, 3, 36, 32, 49, 45, 24, 66, 0]","[4, 19]"
6,NSGAII,381.3,1203.89,3,"[0, 47, 35, 0]",[]
6,NSGAII,381.3,1203.89,4,"[0, 93, 0]",[]
6,NSGAII,381.3,1203.89,5,"[0, 91, 0]",[91]
6,NSGAII,381.3,1203.89,6,"[0, 12, 20, 0]",[20]
7,NSGAII,379.31,1218.52,1,"[0, 53, 51, 77, 92, 25, 43, 34, 1, 18, 31, 19, 91, 21, 22, 33, 37, 68, 39, 84, 86, 67, 72, 70, 54, 36, 3, 32, 90, 65, 6, 87, 52, 29, 5, 61, 60, 97, 8, 7, 46, 28, 42, 38, 44, 98, 85, 88, 63, 74, 64, 73, 57, 96, 83, 27, 0]","[28, 32, 57]"
7,NSGAII,379.31,1218.52,2,"[0, 48, 0]",[]
7,NSGAII,379.31,1218.52,3,"[0, 76, 0]",[76]
7,NSGAII,379.31,1218.52,4,"[0, 80, 66, 94, 49, 45, 24, 79, 93, 100, 81, 75, 55, 9, 89, 47, 69, 59, 10, 26, 11, 41, 95, 13, 12, 78, 30, 15, 71, 17, 16, 56, 23, 82, 58, 62, 50, 99, 0]",[79]
7,NSGAII,379.31,1218.52,5,"[0, 4, 35, 0]",[]
7,NSGAII,379.31,1218.52,6,"[0, 14, 20, 40, 2, 0]",[14]
8,NSGAII,354.92,1258.33,1,"[0, 41, 0]",[]
8,NSGAII,354.92,1258.33,2,"[0, 94, 0]",[]
8,NSGAII,354.92,1258.33,3,"[0, 4, 80, 53, 51, 70, 67, 86, 77, 48, 62, 92, 43, 99, 21, 84, 20, 17, 31, 40, 35, 15, 64, 78, 74, 63, 88, 85, 98, 14, 73, 12, 27, 57, 46, 28, 42, 76, 81, 75, 8, 93, 97, 61, 60, 87, 29, 90, 79, 0]","[79, 98]"
8,NSGAII,354.92,1258.33,4,"[0, 72, 0]",[]
8,NSGAII,354.92,1258.33,5,"[0, 13, 96, 83, 11, 30, 71, 16, 18, 19, 91, 33, 37, 68, 39, 56, 23, 22, 1, 34, 25, 2, 50, 58, 82, 3, 36, 54, 32, 49, 66, 45, 24, 65, 6, 52, 5, 55, 9, 100, 7, 69, 47, 38, 44, 59, 26, 10, 0]","[9, 25, 32]"
8,NSGAII,354.92,1258.33,6,"[0, 95, 89, 0]",[]
9,NSGAII,326.58,1281.56,1,"[0, 7, 81, 75, 9, 76, 28, 89, 26, 38, 44, 96, 14, 95, 27, 15, 30, 64, 78, 74, 63, 98, 16, 56, 68, 37, 99, 25, 43, 62, 77, 72, 70, 54, 36, 5, 61, 60, 29, 79, 32, 94, 49, 51, 53, 4, 0]","[28, 60, 75, 79, 95, 98]"
9,NSGAII,326.58,1281.56,2,"[0, 71, 35, 31, 19, 18, 91, 21, 22, 33, 39, 84, 23, 82, 86, 67, 3, 58, 48, 34, 1, 92, 50, 2, 66, 45, 24, 90, 65, 6, 87, 52, 97, 93, 100, 42, 69, 47, 59, 83, 11, 41, 12, 13, 0]","[19, 42]"
9,NSGAII,326.58,1281.56,3,"[0, 20, 0]",[]
9,NSGAII,326.58,1281.56,4,"[0, 57, 0]",[]
9,NSGAII,326.58,1281.56,5,"[0, 8, 0]",[8]
9,NSGAII,326.58,1281.56,6,"[0, 10, 55, 46, 73, 85, 88, 40, 17, 80, 0]",[]
10,NSGAII,322.41,1315.05,1,"[0, 73, 14, 89, 9, 4, 77, 58, 50, 99, 0]",[]
10,NSGAII,322.41,1315.05,2,"[0, 25, 34, 1, 22, 33, 37, 68, 39, 84, 82, 86, 67, 72, 70, 54, 3, 32, 90, 65, 6, 87, 52, 60, 61, 5, 97, 42, 69, 38, 0]","[25, 60, 86]"
10,NSGAII,322.41,1315.05,3,"[0, 13, 11, 83, 44, 47, 59, 26, 100, 45, 66, 2, 23, 56, 18, 16, 71, 35, 0]",[]
10,NSGAII,322.41,1315.05,4,"[0, 80, 53, 51, 49, 94, 24, 79, 29, 36, 62, 48, 92, 43, 21, 91, 20, 19, 17, 31, 15, 30, 64, 78, 74, 63, 88, 85, 98, 10, 28, 46, 7, 81, 76, 75, 93, 8, 57, 96, 95, 41, 12, 27, 0]","[46, 96]"
10,NSGAII,322.41,1315.05,5,"[0, 40, 0]",[]
10,NSGAII,322.41,1315.05,6,"[0, 55, 0]",[55]
11,NSGAII,305.83,1338.28,1,"[0, 35, 93, 0]",[35]
11,NSGAII,305.83,1338.28,2,"[0, 28, 96, 12, 20, 91, 21, 92, 0]",[]
11,NSGAII,305.83,1338.28,3,"[0, 50, 77, 48, 62, 43, 34, 99, 17, 31, 40, 71, 15, 30, 64, 78, 74, 63, 88, 85, 98, 73, 41, 95, 57, 10, 89, 47, 46, 7, 8, 81, 76, 75, 29, 79, 51, 94, 53, 80, 4, 0]","[89, 95, 98]"
11,NSGAII,305.83,1338.28,4,"[0, 25, 1, 22, 33, 37, 58, 3, 72, 70, 54, 65, 6, 52, 55, 9, 42, 38, 14, 0]",[58]
11,NSGAII,305.83,1338.28,5,"[0, 13, 27, 11, 83, 26, 59, 44, 69, 97, 61, 60, 87, 5, 90, 24, 45, 49, 32, 36, 67, 86, 82, 23, 84, 56, 39, 68, 18, 16, 19, 2, 0]",[24]
11,NSGAII,305.83,1338.28,6,"[0, 100, 66, 0]",[]
12,NSGAII,304.34,1340.29,1,"[0, 38, 0]",[]
12,NSGAII,304.34,1340.29,2,"[0, 53, 45, 94, 32, 3, 36, 54, 70, 72, 67, 86, 92, 50, 25, 34, 1, 21, 22, 23, 84, 37, 91, 20, 12, 73, 14, 96, 11, 41, 57, 28, 7, 42, 76, 100, 97, 5, 52, 6, 65, 79, 0]","[70, 86, 94, 100]"
12,NSGAII,304.34,1340.29,3,"[0, 68, 39, 82, 0]",[]
12,NSGAII,304.34,1340.29,4,"[0, 66, 2, 33, 56, 16, 18, 19, 71, 27, 13, 83, 26, 44, 69, 59, 0]",[66]
12,NSGAII,304.34,1340.29,5,"[0, 49, 24, 0]",[]
12,NSGAII,304.34,1340.29,6,"[0, 4, 80, 51, 90, 29, 87, 60, 61, 93, 8, 46, 81, 75, 55, 9, 89, 47, 10, 95, 15, 30, 64, 78, 74, 63, 88, 85, 98, 35, 40, 31, 17, 99, 43, 48, 62, 58, 77, 0]","[4, 98]"
13,NSGAII,292.91,1363.34,1,"[0, 62, 0]",[]
13,NSGAII,292.91,1363.34,2,"[0, 2, 25, 1, 22, 84, 37, 68, 39, 82, 86, 67, 72, 70, 54, 3, 32, 90, 65, 6, 87, 52, 29, 5, 61, 60, 97, 42, 69, 38, 14, 63, 15, 27, 13, 0]","[13, 22]"
13,NSGAII,292.91,1363.34,3,"[0, 57, 83, 96, 26, 59, 44, 47, 7, 100, 93, 24, 45, 66, 49, 36, 92, 21, 23, 56, 16, 35, 71, 31, 19, 91, 20, 0]","[19, 20]"
13,NSGAII,292.91,1363.34,4,"[0, 12, 0]",[]
13,NSGAII,292.91,1363.34,5,"[0, 17, 95, 0]",[]
13,NSGAII,292.91,1363.34,6,"[0, 4, 79, 51, 94, 53, 80, 77, 58, 48, 50, 43, 99, 34, 33, 18, 40, 98, 85, 30, 64, 78, 74, 88, 11, 41, 73, 8, 75, 55, 9, 76, 81, 46, 28, 89, 10, 0]","[46, 51]"
14,NSGAII,280.02,1375.98,1,"[0, 50, 92, 58, 62, 43, 25, 99, 20, 17, 40, 35, 30, 64, 78, 74, 88, 85, 98, 10, 46, 28, 76, 81, 9, 55, 75, 93, 95, 73, 41, 12, 29, 79, 53, 4, 0]","[28, 58, 95]"
14,NSGAII,280.02,1375.98,2,"[0, 51, 94, 3, 54, 70, 72, 67, 86, 84, 37, 33, 22, 1, 34, 27, 15, 63, 14, 38, 42, 97, 61, 60, 52, 87, 6, 65, 90, 0]",[63]
14,NSGAII,280.02,1375.98,3,"[0, 13, 57, 11, 83, 96, 26, 59, 44, 47, 69, 7, 100, 5, 32, 49, 45, 24, 66, 36, 82, 23, 56, 39, 68, 21, 91, 19, 18, 31, 71, 16, 2, 0]",[24]
14,NSGAII,280.02,1375.98,4,"[0, 80, 0]",[]
14,NSGAII,280.02,1375.98,5,"[0, 8, 89, 0]",[8]
14,NSGAII,280.02,1375.98,6,"[0, 48, 77, 0]",[]
15,NSGAII,275.29,1407.49,1,"[0, 76, 0]",[]
15,NSGAII,275.29,1407.49,2,"[0, 51, 32, 3, 54, 70, 72, 67, 86, 84, 33, 37, 22, 34, 1, 62, 43, 25, 27, 15, 78, 63, 38, 42, 75, 97, 61, 60, 29, 52, 87, 6, 65, 90, 5, 0]","[42, 51]"
15,NSGAII,275.29,1407.49,3,"[0, 66, 24, 45, 49, 36, 82, 2, 23, 39, 56, 68, 18, 19, 16, 35, 71, 13, 41, 11, 83, 26, 59, 44, 47, 69, 7, 93, 0]",[66]
15,NSGAII,275.29,1407.49,4,"[0, 80, 53, 81, 8, 46, 28, 89, 10, 96, 57, 95, 12, 73, 64, 74, 85, 98, 88, 30, 40, 31, 17, 20, 91, 21, 99, 50, 92, 58, 77, 48, 0]",[]
15,NSGAII,275.29,1407.49,5,"[0, 14, 55, 9, 100, 4, 0]",[14]
15,NSGAII,275.29,1407.49,6,"[0, 94, 79, 0]",[]
16,NSGAII,274.91,1445.3,1,"[0, 94, 51, 79, 29, 81, 76, 14, 63, 78, 15, 0]",[]
16,NSGAII,274.91,1445.3,2,"[0, 2, 25, 34, 1, 22, 37, 68, 39, 84, 82, 86, 67, 72, 70, 54, 3, 32, 90, 65, 6, 87, 52, 60, 61, 5, 97, 42, 69, 38, 13, 0]","[13, 32, 60]"
16,NSGAII,274.91,1445.3,3,"[0, 27, 12, 88, 71, 35, 31, 19, 20, 91, 18, 16, 56, 23, 21, 92, 36, 49, 66, 53, 45, 24, 93, 100, 7, 26, 59, 47, 44, 83, 11, 96, 57, 0]","[93, 96]"
